Customer ID,Age,Gender,Income,Location,Device Used,Product Categories Purchased,Total Orders,Average Order Value,Days Since Last Purchase,Customer Lifetime Value,Customer Type,Engagement Level,Cart Abandonment Rate,Churn Risk
CUST0001,56,Other,94288,Dallas,Desktop,"Clothing, Electronics",98,419,55,41062,Returning,Low,0.22680167292514325,Low
CUST0002,69,Other,81195,Dallas,Tablet,"Beauty, Home & Kitchen, Electronics",23,186,252,4278,Returning,High,0.5199132258531405,High
CUST0003,46,Female,50581,Dallas,Desktop,"Sports, Clothing, Beauty",190,364,121,69160,VIP,Low,0.18402810151588145,Medium
CUST0004,32,Female,82648,San Jose,Desktop,Electronics,27,289,105,7803,Returning,Medium,0.2124049674509142,Medium
CUST0005,60,Female,60087,San Antonio,Tablet,"Electronics, Clothing, Home & Kitchen",58,111,129,6438,Returning,Low,0.26869975567518795,Medium
CUST0006,25,Other,79930,Los Angeles,Mobile,"Beauty, Sports, Clothing",69,470,336,32430,Returning,Medium,0.4329516453059623,High
CUST0007,38,Female,62981,San Jose,Desktop,"Beauty, Home & Kitchen",144,201,157,28944,VIP,Low,0.3453745074537017,Medium
CUST0008,56,Female,99298,Phoenix,Tablet,"Beauty, Home & Kitchen, Electronics",28,260,230,7280,Returning,Low,0.5343441263880832,High
CUST0009,36,Male,76167,Houston,Tablet,Home & Kitchen,38,104,307,3952,Returning,Low,0.18881874521852499,High
CUST0010,40,Female,105304,San Diego,Desktop,"Beauty, Sports, Clothing",57,299,90,17043,Returning,Low,0.05693698710174218,Medium
CUST0011,28,Female,73408,Los Angeles,Mobile,Clothing,140,91,21,12740,VIP,High,0.554762356660393,Low
CUST0012,28,Other,69499,Philadelphia,Desktop,"Sports, Beauty, Clothing",22,349,289,7678,Returning,Low,0.5840720670220471,High
CUST0013,41,Other,82269,Phoenix,Mobile,"Sports, Electronics",61,131,109,7991,Returning,High,0.08866210602045321,Medium
CUST0014,70,Other,68559,Los Angeles,Mobile,"Beauty, Home & Kitchen, Sports",116,458,48,53128,VIP,Medium,0.4470898894029577,Low
CUST0015,53,Other,144126,San Jose,Mobile,Clothing,9,284,128,2556,New,Medium,0.2958344095175006,High
CUST0016,57,Other,104319,New York,Mobile,Clothing,158,561,72,88638,VIP,High,0.5660321758764358,Medium
CUST0017,41,Other,141925,San Diego,Desktop,"Sports, Beauty",162,599,339,97038,VIP,Medium,0.618369460227711,High
